Timestamp,Page URL,Error Category,Error Subcategory,Severity Level,Error Message,Source File,Line Number,Stack Trace,Error Count,Browser Info,Recommendations
2025-09-17 22:46:21,https://www.pharmacymentor.com/flu-jab-marketing/,JAVASCRIPT_ERROR,SYNTAX_ERROR,CRITICAL,https://cdn.promotekit.com/promotekit.js 0:0 Uncaught SyntaxError: Identifier 'parsed_host_name' has already been declared,null,0,null,1,Chrome Headless,Fix JavaScript syntax errors
2025-09-17 22:46:32,https://www.pharmacymentor.com/facebook-instagram-ads/,JAVASCRIPT_ERROR,SYNTAX_ERROR,CRITICAL,https://cdn.promotekit.com/promotekit.js 0:0 Uncaught SyntaxError: Identifier 'parsed_host_name' has already been declared,null,0,null,1,Chrome Headless,Fix JavaScript syntax errors
2025-09-17 22:46:40,https://www.pharmacymentor.com/scorecard/,JAVASCRIPT_ERROR,SYNTAX_ERROR,CRITICAL,https://cdn.promotekit.com/promotekit.js 0:0 Uncaught SyntaxError: Identifier 'parsed_host_name' has already been declared,null,0,null,1,Chrome Headless,Fix JavaScript syntax errors
2025-09-17 22:46:53,https://www.pharmacymentor.com/cart/,JAVASCRIPT_ERROR,SYNTAX_ERROR,CRITICAL,https://cdn.promotekit.com/promotekit.js 0:0 Uncaught SyntaxError: Identifier 'parsed_host_name' has already been declared,null,0,null,1,Chrome Headless,Fix JavaScript syntax errors
2025-09-17 22:46:53,https://www.pharmacymentor.com/cart/,GENERAL_ERROR,UNKNOWN_ERROR,HIGH,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js 1:28647 "jQuery.Deferred exception: Cannot read properties of undefined (reading 'defaults')" "TypeError: Cannot read properties of undefined (reading 'defaults')\n    at HTMLDocument.\u003Canonymous> (https://www.pharmacymentor.com/wp-content/plugins/woocommerce/assets/js/frontend/checkout.min.js:1:81)\n    at e (https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js:2:27028)\n    at t (https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js:2:27330)" undefined,t (https,0,null,1,Chrome Headless,Investigate and categorize this error type
2025-09-17 22:46:53,https://www.pharmacymentor.com/cart/,JAVASCRIPT_ERROR,RUNTIME_ERROR,CRITICAL,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js 1:28759 Uncaught TypeError: Cannot read properties of undefined (reading 'defaults'),null,0,null,1,Chrome Headless,Fix JavaScript runtime errors and undefined variables
2025-09-17 22:47:02,https://www.pharmacymentor.com/checkout/,JAVASCRIPT_ERROR,SYNTAX_ERROR,CRITICAL,https://cdn.promotekit.com/promotekit.js 0:0 Uncaught SyntaxError: Identifier 'parsed_host_name' has already been declared,null,0,null,1,Chrome Headless,Fix JavaScript syntax errors
2025-09-17 22:47:02,https://www.pharmacymentor.com/checkout/,GENERAL_ERROR,UNKNOWN_ERROR,HIGH,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js 1:28647 "jQuery.Deferred exception: Cannot read properties of undefined (reading 'defaults')" "TypeError: Cannot read properties of undefined (reading 'defaults')\n    at HTMLDocument.\u003Canonymous> (https://www.pharmacymentor.com/wp-content/plugins/woocommerce/assets/js/frontend/checkout.min.js:1:81)\n    at e (https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js:2:27028)\n    at t (https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js:2:27330)" undefined,t (https,0,null,1,Chrome Headless,Investigate and categorize this error type
2025-09-17 22:47:02,https://www.pharmacymentor.com/checkout/,JAVASCRIPT_ERROR,RUNTIME_ERROR,CRITICAL,https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js 1:28759 Uncaught TypeError: Cannot read properties of undefined (reading 'defaults'),null,0,null,1,Chrome Headless,Fix JavaScript runtime errors and undefined variables
2025-09-17 22:47:09,https://www.pharmacymentor.com/lp-checkout-2/,JAVASCRIPT_ERROR,SYNTAX_ERROR,CRITICAL,https://cdn.promotekit.com/promotekit.js 0:0 Uncaught SyntaxError: Identifier 'parsed_host_name' has already been declared,null,0,null,1,Chrome Headless,Fix JavaScript syntax errors
2025-09-17 22:47:17,https://www.pharmacymentor.com/awards/,JAVASCRIPT_ERROR,SYNTAX_ERROR,CRITICAL,https://cdn.promotekit.com/promotekit.js 0:0 Uncaught SyntaxError: Identifier 'parsed_host_name' has already been declared,null,0,null,1,Chrome Headless,Fix JavaScript syntax errors
2025-09-17 22:47:29,https://www.pharmacymentor.com/partners-and-collaborations/,JAVASCRIPT_ERROR,SYNTAX_ERROR,CRITICAL,https://cdn.promotekit.com/promotekit.js 0:0 Uncaught SyntaxError: Identifier 'parsed_host_name' has already been declared,null,0,null,1,Chrome Headless,Fix JavaScript syntax errors
2025-09-17 22:47:40,https://www.pharmacymentor.com/lp-profile/,JAVASCRIPT_ERROR,SYNTAX_ERROR,CRITICAL,https://cdn.promotekit.com/promotekit.js 0:0 Uncaught SyntaxError: Identifier 'parsed_host_name' has already been declared,null,0,null,1,Chrome Headless,Fix JavaScript syntax errors
2025-09-17 22:47:56,https://www.pharmacymentor.com/free-seo-site-audit/,JAVASCRIPT_ERROR,SYNTAX_ERROR,CRITICAL,https://cdn.promotekit.com/promotekit.js 0:0 Uncaught SyntaxError: Identifier 'parsed_host_name' has already been declared,null,0,null,1,Chrome Headless,Fix JavaScript syntax errors
2025-09-17 22:47:56,https://www.pharmacymentor.com/free-seo-site-audit/,GENERAL_ERROR,UNKNOWN_ERROR,HIGH,https://app-cdn.clickup.com/assets/js/forms-embed/v1.js 564 Failed to execute 'postMessage' on 'DOMWindow': The target origin provided ('https://forms.clickup.com') does not match the recipient window's origin ('https://www.pharmacymentor.com').,null,0,null,1,Chrome Headless,Investigate and categorize this error type
2025-09-17 22:47:56,https://www.pharmacymentor.com/free-seo-site-audit/,GENERAL_ERROR,UNKNOWN_ERROR,HIGH,https://app-cdn.clickup.com/assets/js/forms-embed/v1.js 121:63 "[iFrameSizer][Host page: iFrameResizer0]" "IFrame has not responded within 5 seconds. Check iFrameResizer.contentWindow.js has been loaded in iFrame. This message can be ignored if everything is working, or you can set the warningTimeout option to a higher value or zero to suppress this warning.",null,0,null,1,Chrome Headless,Investigate and categorize this error type
